iter	Passed	Remaining
0	145	145556
1	146	73245
2	147	49110
3	149	37245
4	152	30404
5	154	25598
6	156	22176
7	157	19552
8	158	17473
9	159	15832
10	160	14467
11	162	13407
12	165	12535
13	166	11761
14	167	11031
15	168	10392
16	169	9828
17	171	9334
18	172	8885
19	173	8489
20	174	8121
21	176	7849
22	178	7584
23	179	7305
24	180	7047
25	181	6813
26	182	6589
27	183	6384
28	185	6213
29	186	6031
30	187	5858
31	188	5709
32	191	5611
33	194	5528
34	195	5396
35	197	5276
36	198	5154
37	198	5036
38	199	4925
39	200	4818
40	201	4717
41	203	4635
42	205	4567
43	207	4502
44	208	4418
45	209	4338
46	210	4259
47	210	4184
48	212	4114
49	213	4048
50	214	3986
51	215	3924
52	216	3868
53	218	3824
54	220	3780
55	221	3727
56	222	3677
57	223	3626
58	224	3576
59	225	3529
60	226	3482
61	227	3438
62	228	3394
63	229	3352
64	230	3312
65	232	3289
66	234	3271
67	237	3252
68	238	3217
69	239	3182
70	240	3146
71	241	3111
72	242	3077
73	243	3044
74	244	3012
75	245	2981
76	246	2959
77	249	2945
78	251	2927
79	252	2899
80	253	2870
81	253	2843
82	254	2812
83	255	2785
84	256	2761
85	258	2744
86	259	2721
87	260	2701
88	262	2691
89	265	2679
90	265	2656
91	266	2633
92	267	2611
93	268	2589
94	269	2568
95	270	2550
96	271	2531
97	272	2512
98	273	2493
99	275	2476
100	277	2470
101	280	2467
102	281	2452
103	282	2434
104	283	2417
105	284	2400
106	285	2383
107	286	2365
108	287	2349
109	288	2333
110	289	2322
111	291	2309
112	294	2313
113	296	2301
114	297	2285
115	298	2271
116	299	2256
117	300	2242
118	300	2228
119	302	2214
120	302	2200
121	303	2185
122	306	2182
123	308	2176
124	309	2163
125	309	2150
126	310	2135
127	311	2122
128	314	2121
129	315	2108
130	316	2096
131	317	2085
132	318	2074
133	319	2062
134	322	2066
135	325	2065
136	326	2054
137	327	2043
138	328	2032
139	329	2021
140	330	2010
141	330	1998
142	331	1987
143	332	1976
144	333	1966
145	335	1960
146	336	1955
147	339	1952
148	340	1946
149	341	1937
150	342	1927
151	343	1918
152	344	1908
153	345	1899
154	346	1890
155	347	1881
156	348	1872
157	350	1866
158	352	1862
159	353	1858
160	354	1847
161	355	1839
162	356	1830
163	357	1822
164	358	1813
165	359	1804
166	360	1796
167	361	1788
168	362	1780
169	363	1772
170	365	1771
171	368	1773
172	370	1770
173	371	1763
174	372	1756
175	373	1749
176	374	1742
177	375	1735
178	377	1730
179	378	1724
180	380	1719
181	382	1720
182	384	1715
183	385	1708
184	386	1701
185	387	1694
186	388	1687
187	389	1681
188	390	1674
189	391	1669
190	392	1663
191	393	1657
192	394	1650
193	396	1646
194	397	1642
195	399	1640
196	402	1638
197	403	1633
198	404	1626
199	405	1620
200	406	1615
201	407	1609
202	408	1602
203	409	1596
204	410	1590
205	411	1586
206	414	1588
207	417	1588
208	418	1582
209	419	1577
210	420	1572
211	421	1566
212	422	1561
213	423	1555
214	424	1549
215	426	1546
216	427	1542
217	429	1541
218	431	1537
219	432	1532
220	433	1527
221	434	1522
222	435	1517
223	436	1513
224	437	1508
225	438	1503
226	440	1499
227	442	1497
228	444	1497
229	446	1494
230	447	1489
231	448	1485
232	449	1480
233	450	1475
234	452	1471
235	453	1467
236	454	1463
237	458	1466
238	461	1470
239	463	1468
240	465	1464
241	466	1460
242	467	1455
243	468	1451
244	470	1451
245	472	1449
246	475	1449
247	476	1444
248	477	1440
249	478	1435
250	479	1431
251	481	1429
252	482	1425
253	484	1422
254	486	1420
255	489	1421
256	490	1418
257	491	1414
258	492	1409
259	494	1406
260	495	1402
261	496	1398
262	497	1395
263	498	1390
264	500	1388
265	503	1388
266	504	1384
267	505	1380
268	506	1377
269	507	1373
270	508	1368
271	509	1364
272	510	1360
273	511	1356
274	513	1354
